,actual_phn,expected_phn,actual_score,predicted_score,predicted_score_conf,actual_top_error,predicted_top_error,predicted_top_error_conf,predicted_top_error_validity,word,dx
37,-,l,0,0,0.6737394630908966,lat,lat,0.8268802165985107,True,shovel,SD
38,-,b,0,0,0.002273857593536377,delrel,delrel,0.7384222745895386,False,banana,SD
39,n̪,n,1,1,0.6118271350860596,cor,cor,0.7744781970977783,False,banana,SD
40,a,æ,0,1,0.6191576719284058,front,front,0.4978158473968506,True,banana,SD
41,n,n,1,1,0.40742647647857666,nas,cont,0.5142684578895569,False,banana,SD
42,a,ə,0,1,0.3816502094268799,lo,sg,0.326864093542099,False,banana,SD
43,m,m,1,1,0.6228725910186768,cons,lab,0.2806849479675293,False,monkey,SD
44,ʌ,ʌ,1,1,0.4590897560119629,back,back,0.557059645652771,False,monkey,SD
45,-,ŋ,0,1,0.4561331272125244,nas,cont,0.546063244342804,False,monkey,SD
46,k,k,1,1,0.34619247913360596,cont,delrel,0.7762379050254822,False,monkey,SD
47,i,i,1,1,0.6953089237213135,syl,tense,0.38588881492614746,False,monkey,SD
48,k,k,1,1,0.3914506435394287,delrel,sg,0.5458084940910339,False,crying,SD
49,-,ɹ,0,0,0.6875272691249847,cor,ant,0.25336480140686035,False,crying,SD
50,ɔ,a,0,1,0.5696840286254883,front,front,0.7342305183410645,False,crying,SD
51,ɪ,ɪ,0,1,0.5394730567932129,lo,hi,0.47350236773490906,False,crying,SD
52,ŋ,ŋ,1,1,0.5286405086517334,cont,cont,0.3707539737224579,False,crying,SD
53,b,b,1,1,0.2398974895477295,delrel,delrel,0.8384585380554199,False,balloons,SD
54,-,ə,0,1,0.26478636264801025,hi,syl,0.14581623673439026,True,balloons,SD
55,lʲ,l,1,0,0.3467056155204773,lat,lat,0.9192798733711243,False,balloons,SD
56,u,u,1,1,0.5421911478042603,round,back,0.3757791221141815,False,balloons,SD
57,n,n,1,1,0.5895451307296753,cor,cor,0.5488196611404419,False,balloons,SD
58,sʲ,z,1,0,0.63548344373703,voi,ant,0.6498607397079468,False,balloons,SD
59,b,b,1,1,0.26654064655303955,delrel,delrel,0.7381486296653748,False,ball,SD
60,ɔ,ɔ,1,1,0.46798741817474365,lab,round,0.3179292380809784,False,ball,SD
61,-,l,0,0,0.8222223222255707,lat,lat,0.7292327880859375,True,ball,SD
62,ɡ,ɡ,1,1,0.3306523561477661,voi,delrel,0.3492364287376404,False,girl,SD
63,œ,ɜ˞,0,0,0.5683841407299042,round,round,0.23572219908237457,False,girl,SD
64,-,l,0,0,0.4608950614929199,lat,lat,0.8260918259620667,True,girl,SD
65,d,d,1,0,0.03570050001144409,delrel,delrel,0.9558594226837158,False,jumping,SD
66,ʒ,ʒ,1,0,0.6493016481399536,voi,ant,0.5147477984428406,False,jumping,SD
67,ʌ,ʌ,1,1,0.6308817863464355,hi,back,0.5220820903778076,False,jumping,SD
68,m,m,1,1,0.6010440587997437,cont,cont,0.5574005246162415,False,jumping,SD
69,p,p,1,1,0.3020521402359009,voi,delrel,0.6233519315719604,False,jumping,SD
70,ɪ,ɪ,1,1,0.6347160339355469,front,tense,0.37018415331840515,False,jumping,SD
71,n,ŋ,1,1,0.516861081123352,lab,lab,0.43307065963745117,False,jumping,SD
72,ʔ,n,1,1,0.5265504121780396,cont,cont,0.5063366293907166,False,knife,SD
73,a,a,1,1,0.5443452596664429,lo,front,0.5739783644676208,False,knife,SD
74,ɪ,ɪ,1,1,0.26451289653778076,hi,lo,0.23053456842899323,False,knife,SD
75,f,f,1,1,0.37466299533843994,pause,pause,0.5123192667961121,False,knife,SD
76,sʲ,s,1,0,0.2978028655052185,distr,distr,0.5285544395446777,False,spoon,SD
77,p,p,1,1,0.2479097843170166,delrel,delrel,0.5412461757659912,False,spoon,SD
78,u,u,1,1,0.5871117115020752,round,syl,0.2881167531013489,False,spoon,SD
79,n,n,1,1,0.6196243762969971,cor,cor,0.7183005809783936,False,spoon,SD
80,-,p,0,1,0.21582210063934326,cont,cont,0.303371787071228,False,pajamas,SD
81,ɔ,ə,0,1,0.2588237524032593,lo,lo,0.5122101902961731,False,pajamas,SD
82,d,d,1,0,0.01585334539413452,voi,delrel,0.8821035027503967,False,pajamas,SD
83,ʒ,ʒ,1,0,0.7570513486862183,voi,ant,0.6370824575424194,False,pajamas,SD
84,æ,æ,1,1,0.6160577535629272,front,lo,0.42864444851875305,False,pajamas,SD
85,m,m,1,1,0.453860878944397,lab,nas,0.49334806203842163,False,pajamas,SD
86,ə,ə,1,0,0.027240514755249023,lo,back,0.266798198223114,False,pajamas,SD
87,s,z,0,0,0.4074874520301819,voi,distr,0.39857760071754456,False,pajamas,SD
88,k,k,1,1,0.27187657356262207,hi,delrel,0.15149785578250885,False,cup,SD
89,ʌ,ʌ,1,1,0.23827898502349854,lo,back,0.6408092379570007,False,cup,SD
90,p,p,1,1,0.22753310203552246,lab,delrel,0.6657407283782959,False,cup,SD
91,b,b,1,1,0.0644381046295166,delrel,delrel,0.9224445223808289,False,brush,SD
92,-,ɹ,0,0,0.8476733863353729,ant,ant,0.6168060302734375,False,brush,SD
93,ʌ,ʌ,1,1,0.32811176776885986,back,back,0.7136322855949402,False,brush,SD
94,sʲ,ʃ,0,0,0.7397518157958984,ant,ant,0.6123021841049194,True,brush,SD
95,f,f,1,1,0.22265195846557617,lab,labiodental,0.4933558404445648,False,flowers,SD
96,-,l,0,0,0.4418081045150757,front,lat,0.8241417407989502,True,flowers,SD
97,a,a,1,1,0.6654770374298096,front,front,0.8860334157943726,False,flowers,SD
98,ʊ,ʊ,1,1,0.5124660730361938,round,round,0.2588970363140106,False,flowers,SD
99,ʌ,ɜ˞,0,0,0.7525434792041779,tense,round,0.7542247176170349,True,flowers,SD
100,sʲ,z,0,0,0.47586578130722046,voi,distr,0.40205103158950806,False,flowers,SD
101,tʲ,t,0,0,0.0791177749633789,delrel,delrel,0.9284593462944031,False,telephone,SD
102,e,ɛ,0,1,0.40051019191741943,lo,lo,0.7238261699676514,False,telephone,SD
103,-,l,0,0,0.6146959066390991,lat,lat,0.9491293430328369,True,telephone,SD
104,-,ə,0,1,0.24416518211364746,front,cons,0.2867215871810913,False,telephone,SD
105,f,f,1,1,0.21919798851013184,lab,labiodental,0.4185219705104828,False,telephone,SD
106,o,o,1,1,0.053586721420288086,round,round,0.4850662648677826,False,telephone,SD
107,ʊ,ʊ,1,1,0.35728883743286133,back,back,0.47208335995674133,False,telephone,SD
108,n,n,1,1,0.47483623027801514,cont,cont,0.5732389688491821,False,telephone,SD
109,sʲ,s,0,0,0.5436212420463562,distr,distr,0.6195668578147888,False,stars,SD
110,k,t,0,1,0.010345935821533203,delrel,delrel,0.9259679317474365,False,stars,SD
111,ɔ,a,0,1,0.4307069778442383,front,front,0.4825463593006134,False,stars,SD
112,-,ɹ,0,0,0.7610816359519958,ant,ant,0.2878803014755249,False,stars,SD
113,sʲ,z,0,0,0.32075995206832886,voi,voi,0.47045210003852844,True,stars,SD
114,ɡ,ɡ,1,1,0.20951426029205322,cor,delrel,0.5366370677947998,False,green,SD
115,-,ɹ,0,0,0.39067989587783813,son,ant,0.20799390971660614,False,green,SD
116,i,i,1,1,0.6478371620178223,tense,tense,0.6340550184249878,False,green,SD
117,n,n,1,1,0.6449512243270874,cor,cor,0.6481737494468689,False,green,SD
118,k,k,1,1,0.34541571140289307,cor,delrel,0.20451469719409943,False,clown,SD
119,-,l,0,0,0.6352024674415588,lat,lat,0.9661954045295715,True,clown,SD
120,a,a,1,1,0.6708451509475708,front,front,0.8841342329978943,False,clown,SD
121,ʊ,ʊ,1,1,0.4450695514678955,round,round,0.3254998028278351,False,clown,SD
122,n,n,1,1,0.46727728843688965,cont,cont,0.5577805042266846,False,clown,SD
123,a,a,1,1,0.5635297298431396,front,front,0.6947427988052368,False,five,SD
124,ɪ,ɪ,1,1,0.5246185064315796,lo,hi,0.3529171645641327,False,five,SD
125,b,v,0,1,0.21414482593536377,lab,labiodental,0.7239950895309448,True,five,SD
126,h,h,1,1,0.3318134546279907,voi,sg,0.8691685199737549,False,house,SD
127,a,a,1,1,0.6334112882614136,front,front,0.7977538704872131,False,house,SD
128,ʊ,ʊ,1,1,0.3586815595626831,round,round,0.392796128988266,False,house,SD
129,sʲ,s,0,0,0.5716158449649811,distr,distr,0.45889216661453247,False,house,SD
130,f,f,1,1,0.5434995889663696,labiodental,sg,0.6701563000679016,False,frog,SD
131,-,ɹ,0,0,0.8247652351856232,cor,cor,0.30807816982269287,True,frog,SD
132,ɔ,ɔ,1,1,0.21914362907409668,lo,lo,0.23837420344352722,False,frog,SD
133,k,ɡ,0,1,0.42470526695251465,cont,delrel,0.7577806711196899,False,frog,SD
134,w,w,1,1,0.270521879196167,round,round,0.4195820689201355,False,window,SD
135,ɪ,ɪ,1,1,0.632537841796875,tense,tense,0.6449147462844849,False,window,SD
136,n,n,1,1,0.6536941528320312,cor,cor,0.763644278049469,False,window,SD
137,t,d,0,0,0.06856584548950195,cont,delrel,0.6301729083061218,False,window,SD
138,o,o,1,1,0.5783880949020386,lab,round,0.28752008080482483,False,window,SD
139,ʊ,ʊ,1,1,0.5839899778366089,round,tense,0.25161775946617126,False,window,SD
140,s,s,1,0,0.6095967292785645,distr,distr,0.45500874519348145,False,slide,SD
141,l,l,1,0,0.18202733993530273,lat,lat,0.8635276556015015,False,slide,SD
142,a,a,1,1,0.6567515134811401,front,front,0.8678103685379028,False,slide,SD
143,ɪ,ɪ,1,1,0.4099233150482178,lo,lo,0.4624113440513611,False,slide,SD
144,-,d,0,0,0.042957305908203125,delrel,delrel,0.923790454864502,False,slide,SD
145,t,t,1,0,0.11057925224304199,delrel,delrel,0.9317373633384705,False,tree,SD
146,-,ɹ,0,0,0.24786615371704102,son,ant,0.1685975044965744,False,tree,SD
147,i,i,1,1,0.667701005935669,tense,tense,0.7090709805488586,False,tree,SD
148,ɡ,ɡ,1,1,0.1508694887161255,cor,delrel,0.6620849370956421,False,glasses,SD
149,-,l,0,0,0.5320900678634644,lat,lat,0.9676049947738647,True,glasses,SD
150,æ,æ,1,1,0.5933545827865601,lo,lo,0.4183155596256256,False,glasses,SD
151,ʔ,s,0,0,0.42521846294403076,voi,voi,0.2823953926563263,False,glasses,SD
152,ɪ,ɪ,1,1,0.5174921751022339,cor,tense,0.34031355381011963,False,glasses,SD
153,sʲ,z,1,0,0.5206944048404694,voi,distr,0.47710296511650085,False,glasses,SD
154,zʲ,d,0,0,0.009176373481750488,son,delrel,0.6001472473144531,True,drum,SD
155,-,ɹ,0,0,0.252682089805603,syl,cor,0.3313995897769928,True,drum,SD
156,ʌ,ʌ,1,1,0.5419830083847046,back,back,0.9169057607650757,False,drum,SD
157,m,m,1,1,0.5720213651657104,lab,cont,0.47911471128463745,False,drum,SD
158,w,w,1,1,0.37854087352752686,cons,cons,0.2189701497554779,False,watches,SD
159,ʃ,t,0,0,0.06111425161361694,delrel,delrel,0.9552736878395081,True,watches,SD
160,ʃ,ʃ,0,0,0.7935755252838135,ant,ant,0.6891573667526245,False,watches,SD
161,ɪ,ɪ,1,1,0.5915870666503906,cor,tense,0.4890892207622528,False,watches,SD
162,s,z,0,0,0.3627912402153015,voi,voi,0.37941306829452515,True,watches,SD
163,w,ɹ,0,0,0.7781387120485306,cor,cor,0.31335166096687317,True,ring,SD
164,ɪ̃,ɪ,1,1,0.7095646858215332,tense,tense,0.7761527895927429,False,ring,SD
165,-,ŋ,0,1,0.5575360059738159,cont,cont,0.5833744406700134,False,ring,SD
166,b,b,1,0,0.018924474716186523,delrel,delrel,0.9794521331787109,False,bath,SD
167,æ,æ,1,1,0.6074516773223877,voi,front,0.5022024512290955,False,bath,SD
168,f,θ,0,0,0.7859475314617157,cor,labiodental,0.25115326046943665,True,bath,SD
169,sʲ,s,0,0,0.3866204023361206,distr,distr,0.5207789540290833,False,swimming,SD
170,-,w,0,1,0.3501262664794922,lab,syl,0.3041900396347046,False,swimming,SD
171,ɪ,ɪ,1,1,0.5277543067932129,hi,tense,0.3222275972366333,False,swimming,SD
172,m,m,1,1,0.5895839929580688,lab,cont,0.42905473709106445,False,swimming,SD
173,ɪ,ɪ,1,1,0.670171856880188,tense,tense,0.7252435684204102,False,swimming,SD
174,ŋ,ŋ,1,1,0.5185750722885132,nas,cont,0.5455134510993958,False,swimming,SD
175,d,ð,0,0,0.6519250273704529,voi,distr,0.3218865990638733,True,this,SD
176,ɪ,ɪ,1,1,0.5097439289093018,hi,hi,0.42611610889434814,False,this,SD
177,sʲ,s,0,0,0.2366061806678772,voi,voi,0.3177947700023651,False,this,SD
178,w,w,1,1,0.3968132734298706,cons,cons,0.2247338742017746,False,watch,SD
179,ʃ,t,0,0,0.011337697505950928,delrel,delrel,0.9293280243873596,True,watch,SD
180,ʃ,ʃ,0,0,0.10257601737976074,distr,distr,0.43487438559532166,False,watch,SD
181,p,p,1,1,0.33270108699798584,delrel,delrel,0.892829418182373,False,plane,SD
182,-,l,0,0,0.6594297885894775,lat,lat,0.9618633985519409,True,plane,SD
183,e,e,1,1,0.5282013416290283,tense,tense,0.43858128786087036,False,plane,SD
184,ɪ,ɪ,1,1,0.6302125453948975,hi,tense,0.47935935854911804,False,plane,SD
185,n,n,1,1,0.6272628307342529,cor,cor,0.40817123651504517,False,plane,SD
186,b,b,1,0,0.02573847770690918,lab,delrel,0.7162443995475769,False,bathtub,SD
187,æ,æ,1,1,0.63749098777771,syl,front,0.5890232920646667,False,bathtub,SD
188,ʔ,θ,0,0,0.6270026564598083,cor,labiodental,0.22807803750038147,False,bathtub,SD
189,t,t,1,0,0.03857535123825073,delrel,delrel,0.9265839457511902,False,bathtub,SD
190,ʌ,ʌ,1,1,0.3473116159439087,back,back,0.6951322555541992,False,bathtub,SD
191,b,b,1,1,0.18159282207489014,delrel,delrel,0.9398483037948608,False,bathtub,SD
192,æ,æ,1,1,0.614190936088562,syl,front,0.4859654903411865,False,vacuum,SD
193,k,k,1,1,0.2869943380355835,cor,delrel,0.2979174554347992,False,vacuum,SD
194,j,j,1,1,0.5815447568893433,syl,syl,0.4409432113170624,False,vacuum,SD
195,u,u,1,1,0.44011175632476807,back,back,0.7392093539237976,False,vacuum,SD
196,-,m,0,1,0.6510509252548218,lab,nas,0.5023064613342285,True,vacuum,SD
197,t,t,1,1,0.009632229804992676,pause,delrel,0.6445298194885254,False,chair,SD
198,ʃ,ʃ,1,0,0.7095067799091339,distr,ant,0.5935446619987488,False,chair,SD
199,ɛ,ɛ,1,1,0.46117210388183594,lo,lo,0.5785372853279114,False,chair,SD
200,-,ɹ,0,0,0.496426522731781,cor,cor,0.289163202047348,True,chair,SD
201,k,k,1,1,0.3782980442047119,hi,lab,0.1581525206565857,False,car,SD
202,ɔ,a,0,0,0.12165677547454834,back,back,0.3344889283180237,True,car,SD
203,-,ɹ,0,0,0.8426816463470459,cor,cor,0.44517675042152405,True,car,SD
204,æ,æ,1,1,0.6281756162643433,syl,front,0.508895993232727,False,lamp,SD
205,m,m,1,1,0.46502459049224854,lab,nas,0.5217791795730591,False,lamp,SD
206,p,p,1,1,0.2904050350189209,delrel,delrel,0.9396501183509827,False,lamp,SD
207,f,f,1,1,0.3412928581237793,labiodental,labiodental,0.8587653040885925,False,fishing,SD
208,ɪ,ɪ,1,1,0.6003881692886353,tense,tense,0.5505772829055786,False,fishing,SD
209,ʃ,ʃ,1,0,0.33982008695602417,distr,distr,0.46915382146835327,False,fishing,SD
210,ɪ,ɪ,1,1,0.6417554616928101,front,tense,0.5643904209136963,False,fishing,SD
211,ŋ,ŋ,1,1,0.5464222431182861,cont,cont,0.5537230968475342,False,fishing,SD
212,j,j,1,1,0.45802366733551025,syl,syl,0.2123354971408844,False,yellow,SD
213,ɛ,ɛ,1,1,0.510002613067627,hi,lo,0.43749216198921204,False,yellow,SD
214,j,l,0,0,0.24258029460906982,lat,lat,0.8181818127632141,True,yellow,SD
215,o,o,1,1,0.5943038463592529,lab,round,0.2836800217628479,False,yellow,SD
216,ʊ,ʊ,1,1,0.6087253093719482,tense,tense,0.3365284502506256,False,yellow,SD
217,b,b,1,1,0.2794231176376343,lab,delrel,0.39582720398902893,False,blue,SD
218,l,l,1,0,0.28524714708328247,lat,lat,0.8929622173309326,False,blue,SD
219,u,u,1,1,0.5092689990997314,back,back,0.5799343585968018,False,blue,SD
220,f,f,1,1,0.2614896297454834,lab,labiodental,0.4767473042011261,False,feather,SD
221,ɛ,ɛ,1,1,0.4682283401489258,lo,lo,0.47510477900505066,False,feather,SD
222,j,ð,0,0,0.4469999670982361,son,son,0.3554595112800598,True,feather,SD
223,ə,ɜ˞,0,0,0.28868091106414795,round,round,0.8269105553627014,True,feather,SD
224,p,p,1,1,0.47408390045166016,delrel,delrel,0.9305229783058167,False,pencils,SD
225,ɛ,ɛ,1,1,0.3541609048843384,lo,lo,0.7316864728927612,False,pencils,SD
226,-,n,0,1,0.3405952453613281,nas,cont,0.48168838024139404,False,pencils,SD
227,sʲ,s,0,0,0.28530359268188477,voi,distr,0.3882633149623871,False,pencils,SD
228,-,l,0,0,0.27775973081588745,lat,lat,0.7905871868133545,True,pencils,SD
229,-,z,0,0,0.34041285514831543,strid,son,0.7401366829872131,False,pencils,SD
230,w,ɹ,0,0,0.8433987200260162,cor,cor,0.2625886797904968,True,rabbit,SD
231,æ,æ,1,1,0.604168176651001,lo,lo,0.5512917637825012,False,rabbit,SD
232,b,b,1,1,0.06610369682312012,delrel,delrel,0.9547814726829529,False,rabbit,SD
233,ɪ,ɪ,1,1,0.5559781789779663,hi,hi,0.4718300700187683,False,rabbit,SD
234,d,d,1,1,0.021233201026916504,delrel,delrel,0.6618769764900208,False,duck,SD
235,ʌ,ʌ,1,1,0.5096524953842163,back,back,0.6352795362472534,False,duck,SD
236,k,k,1,1,0.3245971202850342,cont,delrel,0.6969064474105835,False,duck,SD
237,k,k,1,1,0.3441272974014282,delrel,delrel,0.8471270203590393,False,quack,SD
238,w,w,1,1,0.4334944486618042,round,cons,0.24084225296974182,False,quack,SD
239,æ,æ,1,1,0.6855376958847046,front,front,0.6525058150291443,False,quack,SD
240,k,k,1,1,0.381091833114624,delrel,delrel,0.6415845155715942,False,quack,SD
241,s,s,1,0,0.260506808757782,pause,pause,0.39429906010627747,False,scissors,SD
242,ɪ,ɪ,1,1,0.5908553600311279,hi,hi,0.4618013799190521,False,scissors,SD
243,s,z,0,0,0.2015458345413208,voi,voi,0.4025397002696991,True,scissors,SD
244,ɜ˞,ɜ˞,1,0,0.6328924894332886,round,round,0.3673339784145355,False,scissors,SD
245,s,z,0,0,0.36996352672576904,voi,voi,0.3835602402687073,True,scissors,SD
246,ɔ,ɔ,1,1,0.5878545045852661,round,round,0.2859913408756256,False,orange,SD
247,ɹ,ɹ,1,0,0.8395600616931915,cor,cor,0.42376017570495605,False,orange,SD
248,n,n,1,1,0.5084207057952881,cor,cor,0.3852578401565552,False,orange,SD
249,t,d,0,1,0.008225202560424805,delrel,delrel,0.9403116703033447,False,orange,SD
250,ʃ,ʒ,0,0,0.4993155002593994,voi,distr,0.3877776563167572,False,orange,SD
251,k,k,1,1,0.22154605388641357,cor,delrel,0.6703576445579529,False,carrot,SD
252,ɛ,ɛ,1,1,0.5772253274917603,lo,hi,0.4293026924133301,False,carrot,SD
253,ɹ,ɹ,1,1,0.22624850273132324,cor,syl,0.31895652413368225,False,carrot,SD
254,t,t,1,1,0.0156707763671875,voi,delrel,0.7667621374130249,False,carrot,SD
255,θ,z,0,0,0.4739024043083191,voi,distr,0.4732682406902313,True,zipper,SD
256,ɪ,ɪ,1,1,0.5623104572296143,cons,tense,0.2947465181350708,False,zipper,SD
257,p,p,1,1,0.1625690460205078,voi,delrel,0.7810975909233093,False,zipper,SD
258,ɜ˞,ɜ˞,1,0,0.148564875125885,round,round,0.4032934606075287,False,zipper,SD
259,f,f,1,1,0.2719310522079468,labiodental,labiodental,0.8743177652359009,False,finger,SD
260,ɪ,ɪ,1,1,0.426721453666687,hi,lo,0.3859157860279083,False,finger,SD
261,ŋ,ŋ,1,1,0.28644728660583496,lo,cor,0.24551324546337128,False,finger,SD
262,ɡ,ɡ,1,1,0.18794703483581543,delrel,delrel,0.5654433965682983,False,finger,SD
263,ɜ˞,ɜ˞,1,1,0.052725791931152344,round,round,0.5967437028884888,False,finger,SD
264,w,w,1,1,0.24156248569488525,round,round,0.2416973114013672,False,wagon,SD
265,æ,æ,1,1,0.6718740463256836,front,front,0.624765157699585,False,wagon,SD
266,ɡ,ɡ,1,1,0.05729055404663086,cont,son,0.5620925426483154,False,wagon,SD
267,n,n,1,1,0.5528409481048584,cor,cor,0.38325557112693787,False,wagon,SD
268,ʃ,ʃ,1,1,0.09944581985473633,voi,distr,0.39514172077178955,False,shovel,SD
269,ʌ,ʌ,1,1,0.546950101852417,back,back,0.8768998384475708,False,shovel,SD
270,v,v,1,1,0.01577436923980713,labiodental,labiodental,0.7355059385299683,False,shovel,SD
271,ə,ə,1,1,0.23324573040008545,front,lo,0.48597314953804016,False,shovel,SD
272,l,l,1,0,0.7455320954322815,cor,lat,0.6809821128845215,False,shovel,SD
273,f,θ,0,0,0.7124171853065491,cor,labiodental,0.34093087911605835,True,thumb,SD
274,ʌ,ʌ,1,1,0.30762743949890137,back,back,0.4025530219078064,False,thumb,SD
275,m,m,1,1,0.583598256111145,lab,lab,0.4079766571521759,False,thumb,SD
276,b,b,1,1,0.03573322296142578,son,delrel,0.7943942546844482,False,banana,SD
277,m,n,0,1,0.45171093940734863,cont,cont,0.5392774939537048,False,banana,SD
278,æ,æ,1,1,0.5989949703216553,front,front,0.5366884469985962,False,banana,SD
279,n,n,1,1,0.46750056743621826,cont,cont,0.547170102596283,False,banana,SD
280,ə,ə,1,0,0.07210183143615723,lo,back,0.31503021717071533,False,banana,SD
281,m,m,1,1,0.562535285949707,lab,lab,0.43609750270843506,False,monkey,SD
282,ʌ,ʌ,1,1,0.2572122812271118,lo,back,0.49326786398887634,False,monkey,SD
283,ŋ,ŋ,1,1,0.3844093084335327,lab,lab,0.5799895524978638,False,monkey,SD
284,k,k,1,1,0.22689926624298096,delrel,delrel,0.856749415397644,False,monkey,SD
285,i,i,1,1,0.6670063734054565,syl,tense,0.5166037082672119,False,monkey,SD
286,k,k,1,1,0.2776848077774048,delrel,delrel,0.6999439001083374,False,crying,SD
287,ɹ,ɹ,1,0,0.7288224101066589,cor,cor,0.3321354389190674,False,crying,SD
288,a,a,1,1,0.5416805744171143,front,front,0.694551408290863,False,crying,SD
289,ɪ,ɪ,1,1,0.5736795663833618,lo,hi,0.49661922454833984,False,crying,SD
290,j,j,1,1,0.4121706485748291,syl,syl,0.33305788040161133,False,crying,SD
291,ɪ,ɪ,1,1,0.597692608833313,hi,hi,0.3931981027126312,False,crying,SD
292,n,ŋ,0,1,0.3643209934234619,cont,pause,0.30750909447669983,False,crying,SD
293,b,b,1,1,0.15010595321655273,delrel,delrel,0.9360257387161255,False,balloons,SD
294,a,ə,1,0,0.2652117609977722,back,back,0.42886173725128174,False,balloons,SD
295,l,l,1,0,0.6099168956279755,cor,lat,0.693475604057312,False,balloons,SD
296,u,u,1,1,0.6451414823532104,tense,tense,0.3715883493423462,False,balloons,SD
297,n,n,1,1,0.6948651075363159,cor,cor,0.8712027072906494,False,balloons,SD
298,s,z,1,0,0.28122377395629883,voi,voi,0.44415536522865295,True,balloons,SD
299,b,b,1,0,0.02209681272506714,delrel,delrel,0.969645082950592,False,ball,SD
300,ɔ,ɔ,1,1,0.5982153415679932,round,round,0.2716386616230011,False,ball,SD
301,l,l,1,0,0.6166533529758453,cor,lat,0.49560490250587463,False,ball,SD
302,ɡ,ɡ,1,1,0.17309892177581787,delrel,delrel,0.6688622236251831,False,girl,SD
303,ɜ˞,ɜ˞,1,0,0.7451389729976654,hi,round,0.34269794821739197,False,girl,SD
304,l,l,1,0,0.7197846472263336,cor,lat,0.5583696961402893,False,girl,SD
305,d,d,1,1,0.0543520450592041,pause,pause,0.4242998957633972,False,jumping,SD
306,ʒ,ʒ,1,0,0.1449958086013794,cont,distr,0.34611642360687256,False,jumping,SD
307,ʌ,ʌ,1,1,0.5648831129074097,back,back,0.866561233997345,False,jumping,SD
308,m,m,1,1,0.5467022657394409,lab,lab,0.40106892585754395,False,jumping,SD
